id,year,longitude,latitude
1259,2020,147.92595204905274,-41.88117196112637
1438,2020,148.00680042462352,-41.705102165438944
1463,2020,145.68196046932218,-42.74894452558583
932,2020,145.01181726736905,-41.49579470423909
2131,2020,148.20083652599334,-41.32780974610874
933,2020,147.78671318001426,-41.59999927719696
1643,2020,145.6460278579574,-42.85943730553252
1292,2020,146.11854169740428,-42.72109675177812
1349,2020,145.3127528875491,-42.0159192537443
1650,2020,144.95252845861717,-41.02777244121282
1185,2020,148.11549657400195,-41.67994933748359
1040,2020,145.32622761681083,-42.00513947033487
989,2020,147.9681728674064,-41.86769723186458
834,2020,147.42828538165054,-41.106824186215334
1041,2020,145.2489725023766,-42.47316173336114
1067,2020,145.30287141942375,-42.44261901370107
2151,2020,148.19903989542507,-41.32960637667698
1178,2020,148.00320716348705,-41.71498363356426
1299,2020,145.68645204574278,-42.73906305746051
911,2020,145.00732569094845,-41.52184584747856
1005,2020,147.59537202449678,-41.22180854258264
869,2020,146.54074988094044,-42.383330204949175
922,2020,148.21520957053923,-41.97729169652716
1203,2020,148.05351281939772,-41.68354259862008
1595,2020,144.88874807344467,-40.70437893892979
886,2020,145.57955252693256,-41.094247772237665
924,2020,146.552427979634,-42.39141504250625
1263,2020,145.00552906038018,-41.511964379353245
1066,2020,145.03158020361968,-41.52094753219444
1631,2020,147.90798574337038,-41.59011780907164
1319,2020,148.3149225670765,-41.00890782024631
1406,2020,145.02439368134668,-41.51016774878501
1310,2020,145.75831726847235,-41.81739157595388
1187,2020,147.7992895939919,-41.56676161168454
918,2020,146.8039562591875,-42.684265825129216
1378,2020,146.56500439361167,-41.64132178026645
892,2020,145.04146167174497,-41.53082900031976
1024,2020,148.06698754865954,-41.66377966236945
1255,2020,145.68465541517455,-42.738164742176394
880,2020,146.1275248502455,-42.74175800331287
1630,2020,146.34222220315002,-41.46435366929491
1282,2020,144.93815541407122,-41.54250709901331
841,2020,145.33970234607267,-42.0024445244825
1078,2020,144.99385096168663,-41.51016774878501
2210,2020,147.64567768040746,-41.427522742646005
1666,2020,145.6487228038098,-41.164316364398985
1496,2020,146.14728778649612,-42.82619964002011
1003,2020,144.7674755100885,-41.30804680985811
1256,2020,146.14818610178023,-41.299961972301034
1574,2020,146.63686961634124,-42.556705054784246
1042,2020,145.29837984300315,-42.43094091500751
1905,2021,147.86666324030085,-41.1652146796831
2001,2021,146.8192276190175,-42.815419856610674
1788,2021,144.85371377736402,-41.29367376531221
2475,2021,146.73927755873086,-42.955557040933314
2349,2021,146.14459284064372,-41.35565751991645
1828,2021,146.1248299043931,-41.43111600378249
1956,2021,144.74771257383787,-41.30535186400576
1994,2021,146.10057539172192,-42.211751985682355
1749,2021,145.80323303267835,-41.44459073304428
1939,2021,144.7764586629297,-41.28828387360748
1867,2021,146.54074988094044,-42.3563807464256
1798,2021,146.3592901935483,-41.46974356099963
2356,2021,147.7615603520589,-41.47064187628375
2453,2021,144.9318672070824,-41.493099758386734
1824,2021,146.86594001379171,-41.9790883270954
2483,2021,145.27143038447957,-42.36446558398268
1746,2021,147.90708742808624,-41.570354872821014
1825,2021,144.83484915639747,-41.275707459629814
2231,2021,147.289046512612,-40.99722972155275
1933,2021,145.56697611295488,-40.965788686608576
2180,2021,145.15824265868054,-41.81110336896505
1759,2021,147.75886540620655,-41.25863946923154
2369,2021,145.2741253303319,-42.31236329750374
2411,2021,145.1294965695887,-41.5281340544674
2430,2021,146.98631426186375,-43.28973032662577
2419,2021,146.96655132561312,-43.30410337117169
1727,2021,146.51290210713273,-42.197378941136435
2429,2021,144.77556034764558,-41.28109735133452
1932,2021,145.2723286997637,-42.35368580057323
1775,2021,145.2319045119783,-42.33661781017497
1857,2021,146.3826463909354,-41.48321829026142
1665,2021,145.74035096279,-41.80301853140797
1862,2021,145.26873543862723,-42.313261612787855
2008,2021,146.55422461020223,-42.8998614933179
1848,2021,145.86701341785084,-41.53352394617211
1697,2021,146.8318040329952,-42.79925018149652
2417,2021,146.78419332293686,-42.77140240768881
3162,2021,145.75023243091528,-41.23977484826503
1892,2021,146.51200379184866,-42.191989049431726
1797,2021,145.29927815828728,-42.15066654636223
2469,2021,144.89323964986528,-41.51735427105797
2462,2021,145.25436239408128,-42.36446558398268
2030,2021,145.63794302040031,-41.538015522592715
1935,2021,146.5703942853164,-42.916929483716174
1725,2021,145.1483611905552,-41.80840842311268
2390,2021,146.70603989321847,-42.65012984433268
2115,2021,145.64333291210505,-41.20923212860497
2033,2021,147.68969512932932,-41.47423513742022
2042,2021,144.86718850662578,-41.28379229718689
1809,2021,144.93456215293477,-40.93255102109616
2305,2021,147.85229019575496,-42.11114067386097
1765,2021,148.11908983513848,-41.69162743617714
2500,2021,145.1528527669758,-41.805713477260326
1063,2021,147.21628297459836,-41.8775786999899
2012,2021,148.19185337315213,-41.01339939666691
1738,2021,145.16003928924874,-41.466150299863145
2049,2021,145.68824867631105,-42.74445294916522
1943,2021,145.2507691329448,-42.3195498197767
1754,2021,145.2354977731148,-42.346499278300286
2234,2021,144.86898513719404,-41.27660577491393
2017,2021,148.27988827099583,-42.114733934997446
2071,2021,144.90132448742236,-41.5236424780468
2027,2021,145.4016861006769,-40.90919482370904
2270,2021,144.9507318280489,-40.85888916779835
1696,2021,144.710881647189,-41.06639999842996
2228,2021,146.58117406872583,-42.63306185393441
2446,2021,144.95163014333303,-41.70330553487071
1713,2021,144.9552234044695,-41.710492057143654
3166,2021,144.85191714679576,-41.03855222462225
1884,2021,147.75886540620655,-41.11221407792006
2367,2021,145.21932809800063,-42.32224476562905
2135,2021,147.91157900450685,-41.929680986468824
2447,2021,144.72615300701904,-41.07178989013468
2156,2021,145.2678371233431,-42.35368580057323
2661,2021,145.66309584835568,-41.429319373214256
1740,2021,145.1088353180539,-41.80930673839681
2126,2021,145.18788706305645,-41.81739157595388
1719,2021,145.24537924124013,-42.3429060171638
2501,2021,146.90546588629297,-42.889980025192585
2246,2021,144.79711991446447,-41.29906365701691
1706,2021,145.29658321243494,-42.16414127562402
2232,2021,146.57219091588462,-42.91513285314794
2459,2021,144.86718850662578,-41.294572080596325
1410,2021,146.4185790023002,-42.10575078215625
2000,2021,147.54326973801784,-41.65479650952825
2259,2021,145.26244723163836,-42.32943128790201
2101,2021,146.93870355180542,-43.37417196333301
1811,2021,147.25311390124722,-41.16251973383075
1977,2021,145.98379440478635,-42.77319903825705
2072,2021,145.27592196090018,-42.344702647732035
2062,2021,147.19472340777946,-41.17060457138783
1770,2021,145.35227876005035,-41.88746016811521
2522,2021,147.68161029177224,-41.17240120195606
2496,2021,145.66848574006042,-42.738164742176394
2254,2021,145.64782448852566,-41.427522742646005
2454,2021,144.9677998184472,-41.02058591893987
1915,2021,144.85551040793223,-41.27031756792509
2260,2021,144.7701704559409,-41.27301251377746
1708,2021,147.66903387779456,-42.69774055439102
1893,2021,145.11153026390627,-41.80391684669209
2910,2022,145.38551642556274,-41.9934613716413
2591,2022,146.38803628264014,-43.26008592224983
3145,2022,147.22885938857598,-41.13646859059129
2858,2022,146.85605854566643,-43.50981757123506
2946,2022,147.64747431097572,-41.4365058954872
3956,2022,145.9083359209203,-42.63755343035501
2560,2022,147.28006335977085,-41.12389217661361
2576,2022,145.80952123966716,-42.86842045837372
2692,2022,146.45361329838084,-42.6052140801267
2559,2022,147.62591474415683,-42.68157087927686
2806,2022,146.82012593430164,-43.50442767953034
2594,2022,146.39881606604956,-43.27445896679575
3064,2022,147.98434254252055,-40.95680553376738
2681,2022,146.95936480334018,-43.09659254054009
2569,2022,147.2701818916455,-41.12928206831833
3935,2022,146.84527876225695,-43.513410832371534
3327,2022,147.82893399836786,-41.98447821880012
2604,2022,146.13560968780257,-41.42392948150953
2840,2022,147.21628297459836,-41.953037183855926
2716,2022,147.75347551450182,-41.46974356099963
2588,2022,145.4654664858494,-41.00980613553044
3190,2022,145.46007659414465,-41.01429771195103
3331,2022,147.18394362437004,-41.11940060019302
3240,2022,147.2611987388043,-41.12299386132949
2931,2022,148.12178478099082,-41.68354259862008
3182,2022,146.43295204684614,-41.4913031278185
2960,2022,145.73675770165346,-41.915307941922904
2580,2022,146.4293587857096,-41.55957508941158
3313,2022,146.54793640321344,-42.17132779789698
2250,2022,146.58566564514643,-42.90255643917027
3059,2022,147.18214699380178,-41.1185022849089
2821,2022,146.3952228049131,-41.53082900031976
2843,2022,147.78401823416186,-42.01771588431254
3045,2022,146.4419351996873,-43.32566293799056
2531,2022,146.371866607526,-43.269069075091025
2932,2022,146.81832930373338,-41.633236942709374
2745,2022,145.28580342902546,-40.9711785783133
2829,2022,147.52979500875605,-41.37542045616708
2867,2022,146.40959584945898,-43.48286811271147
3238,2022,145.7376560169376,-41.90003658209288
2959,2022,146.8596518068029,-43.50622431009859
2978,2022,146.8291090871428,-43.21606847332798
2650,2022,145.9065392903521,-42.63755343035501
3253,2022,147.80737443154896,-41.23169001070795
2634,2022,146.26406877343163,-41.43560758020308
3186,2022,145.40707599238164,-42.00873273147134
3243,2022,146.84168550112048,-42.81631817189479
3112,2022,144.66686419826715,-41.00980613553044
2857,2022,146.7635320714021,-41.62425378986819
3300,2022,146.3799514450831,-43.26098423753395
1983,2022,145.12680162373636,-40.9487206962103
3289,2022,147.8127643232537,-41.0726882054188
2663,2022,148.07776733206896,-41.19485908405906
2870,2022,145.282210167889,-41.71318700299602
2764,2022,146.84977033867756,-43.42986751094843
