id,lossyear,longitude,latitude
201,19.0,146.7536506032768,-43.05976161389118
202,19.0,146.41139248002725,-43.00676101212812
203,19.0,146.71412473077555,-43.03101552479936
204,19.0,145.40258441596103,-41.728458362826046
205,,145.567874428239,-42.86123393610076
206,19.0,146.3035946459329,-42.45878868881522
207,19.0,147.17945204794944,-41.13646859059129
208,19.0,146.88390631947414,-43.064253190311774
209,19.0,145.56068790596606,-42.684265825129216
210,,146.39073122849248,-42.518975812851224
211,,146.7042432626502,-43.04988014576587
212,,145.88408140824907,-42.518975812851224
213,19.0,145.60111209375145,-42.84326763041838
214,19.0,146.52547852111041,-42.0249024065855
215,19.0,146.9000759945883,-42.858538990248405
216,19.0,146.3035946459329,-42.50011119188471
217,19.0,145.7017234055728,-42.82530132473599
218,19.0,146.4293587857096,-43.17025439383788
219,19.0,145.27592196090018,-41.82906967464744
220,19.0,146.0403882676859,-41.449082309464885
221,,146.5290717822469,-43.24122130128332
222,19.0,146.0655410956412,-42.65821468188976
223,19.0,146.54524145736104,-41.98537653408424
224,19.0,146.37456155337833,-43.15857629514433
225,9.0,144.78095023935032,-40.51483441398058
226,,146.53535998923576,-41.93866413931002
227,19.0,146.40510427303843,-42.691452347402176
228,19.0,146.77610848537978,-43.032812155367594
229,19.0,146.33952725729768,-42.93759073525092
230,19.0,146.55781787133873,-41.94764729215122
231,19.0,145.93618369472802,-41.446387363612516
232,19.0,146.74107418929913,-43.06874476673238
233,19.0,146.6674123360013,-42.1174288808498
234,20.0,145.55799296011372,-42.75972430899526
235,19.0,146.11405012098368,-42.95735367150155
236,19.0,146.72400619890084,-43.18552575366792
237,19.0,145.73496107108525,-42.909742961443214
238,,146.7590404949815,-43.0238290025264
239,19.0,146.62878477878417,-42.04017376641552
240,19.0,146.50122400843918,-41.9242910947641
241,19.0,144.9417486752077,-40.98824656871156
242,19.0,145.5912306256261,-42.59353598143315
243,19.0,146.59285216741938,-42.04107208169964
244,19.0,145.70711329727754,-42.90794633087498
245,19.0,146.65124266088714,-42.07520806249619
246,19.0,146.46169813593792,-41.17958772422902
247,19.0,147.54596468387018,-41.54071046844507
248,19.0,146.28562834025053,-42.629468592797934
249,19.0,146.65663255259187,-41.8919517445358
250,19.0,146.8192276190175,-42.17132779789698
251,,146.30089970008055,-42.61689217882025
252,19.0,146.7231078836167,-43.12444031434778
253,19.0,146.39342617434488,-43.00496438155989
254,19.0,146.63327635520477,-41.84793429561395
255,19.0,145.5382300238631,-42.615095548252015
256,,145.76460547546117,-42.819911433031265
257,19.0,146.78329500765273,-42.16863285204461
258,19.0,147.4812859834136,-41.33409795309758
259,19.0,145.28849837487786,-41.832662935783915
260,19.0,146.20118670354327,-43.5250889310651
261,19.0,146.31437442934237,-42.501009507168845
262,,146.30000138479642,-42.474958363929375
263,19.0,145.5939255714785,-42.88908170990847
264,19.0,146.91175409328184,-42.191989049431726
265,19.0,146.39073122849248,-42.667197834730956
266,19.0,146.68268369583132,-41.875782069421646
267,19.0,147.96907118269047,-42.10575078215625
268,19.0,146.4464267761079,-43.12354199906366
269,19.0,146.4140874258796,-42.66180794302623
270,19.0,146.45181666781264,-43.12533862963191
271,19.0,146.68897190282019,-41.86949386243282
272,19.0,146.5784791228735,-42.00513947033487
273,19.0,146.65483592202366,-42.00873273147134
274,19.0,145.55799296011372,-42.61329891768378
275,19.0,145.78167346585946,-42.540535379670104
276,19.0,146.5021223237233,-42.0482586039726
277,,147.84600198876615,-42.83338616229307
278,19.0,146.71053146963902,-43.04898183048175
279,19.0,146.57668249230522,-42.01322430789193
280,19.0,146.8192276190175,-42.153361492214586
281,19.0,146.5757841770211,-41.99705463277779
282,19.0,146.31347611405823,-42.589942720296676
283,19.0,146.32335758218352,-42.51178929057828
284,19.0,146.8039562591875,-42.122818772554524
285,19.0,146.8039562591875,-43.051676776334105
286,19.0,145.94696347813743,-42.216243562102946
287,19.0,146.28383170968226,-42.685164140413335
288,,146.00535397160525,-42.68965571683394
289,19.0,146.19220355070206,-43.526885561633335
290,19.0,146.16076251575788,-41.518252586342086
291,,144.86090029963697,-40.901109986151965
292,,146.01074386330993,-42.955557040933314
293,19.0,146.51110547656452,-41.994359686925435
294,,146.71951462248023,-43.0929992794036
295,19.0,146.28742497081873,-42.52975559626066
296,,146.70244663208194,-41.87398543885341
297,,147.18933351607473,-42.28092226255956
298,19.0,146.54613977264518,-42.05634344152968
299,19.0,146.70514157793434,-41.87488375413753
300,19.0,146.54613977264518,-41.91890120305939
301,19.0,146.25508562059048,-42.962743563206274
302,19.0,146.84348213168875,-42.14078507823692
303,19.0,146.6979550556614,-42.00783441618722
304,19.0,145.75202906148354,-42.92950589769384
305,19.0,146.78060006180038,-42.121920457270406
306,19.0,146.5874622757147,-41.99615631749367
307,1.0,146.92253387669126,-43.04628688462938
308,19.0,146.26496708871576,-42.44711059012167
309,19.0,146.36288345468478,-42.71750349064165
310,19.0,146.37096829224186,-43.14599988116666
311,19.0,146.56949597003228,-42.146174969941626
312,19.0,146.33503568087707,-42.50729771415767
313,19.0,146.90995746271358,-43.19989879821382
314,,147.1039935640834,-41.30086028758515
315,19.0,146.3296457891724,-42.54682358665893
316,19.0,146.46079982065385,-43.047185199913514
317,19.0,145.612790192445,-42.96813345491098
318,19.0,146.30988285292176,-42.65731636660564
319,19.0,146.31167948348997,-42.673486041719784
320,19.0,146.7770068006639,-42.13719181710043
321,19.0,146.65842918316014,-42.069818170791464
322,19.0,146.740175874015,-41.45626883173783
323,19.0,145.5310435015901,-42.69504560853865
324,19.0,146.51380042241686,-42.006936100903104
325,19.0,145.69902845972047,-42.834284477577185
326,19.0,146.65393760673953,-42.00783441618722
327,,146.88031305833766,-43.21966173446445
328,19.0,145.18159885606764,-41.20114729104789
329,19.0,146.47157960406327,-42.74085968802875
330,19.0,147.22885938857598,-42.29978688352607
331,19.0,145.67926552346984,-42.783978821666494
332,19.0,146.35839187826417,-42.49202635432765
333,19.0,145.5256536098854,-42.68965571683394
334,,146.44822340667616,-41.856917448455135
335,19.0,146.08350740132363,-42.94657388809212
336,,146.42396889400493,-43.114558846222465
337,19.0,147.93403688660982,-43.187322384236154
338,19.0,146.6081235272494,-42.12461540312276
339,19.0,146.45271498309677,-42.67707930285627
340,,146.53625830451983,-42.03658050527905
341,19.0,146.59015722156704,-41.95213886857181
342,19.0,146.90097430987237,-43.039998677640554
343,19.0,146.02511690785587,-42.59892587313787
344,19.0,145.47265300812234,-42.667197834730956
345,19.0,146.46708802764266,-43.136118413041345
346,19.0,145.37473664215332,-42.01951251488077
347,19.0,146.2425092066128,-42.94926883394447
